	id	age	gender	engagement	mem.edu	zip	channel	harm	fair	in.group	authority	purity	account.age	region	public.sector	sustainability	localism	main.focal.value	support.of.focal.value
0	346	56	other	Engaged	2	98503.0	Branch	1.0	1.0	1.0	1.0	1.25	9.951	Thurston	yes	2.33333333333333	2.75	Homelessness	0.0
1	348	66	female	Highly Engaged	3	98012.0	Branch	5.0	4.75	2.25	3.25	2.25	8.838	W WA Metro	yes	6.0	5.75	Environment	18.6278300400615
2	349	71	male	Not Engaged	7	98506.0	Branch	3.25	4.25	2.25	3.25	2.75	5.356	Thurston	yes	5.16666666666667	4.5	Hunger/Poverty	28.7399856722228
3	352	66	male	Engaged	7		Branch	4.25	4.75	4.75	3.25	3.75	9.192	W WA Metro	no	5.5	4.5	Education	18.0553722472463
4	358	50	male	Highly Engaged	4	98233.0	Branch	2.0	4.5	3.5	4.5	3.25	11.57	W WA Non Metro	yes	2.83333333333333	4.0	Education	4.40092148115167
5	361	40	female	Engaged	3	98520.0	Branch	3.75	4.0	3.75	3.0	3.25	5.932	W WA Non Metro	yes	3.5	5.25	Homelessness	28.6801365739818
6	367	49	male	Engaged	4		Branch	4.25	4.5	3.5	2.5	1.75	23.611	W WA Metro	yes	5.83333333333333	5.5	Human/Civil rights	58.0881612810018
7	368	43	male	Not Engaged	6	99163.0	Branch	4.75	4.25	2.5	2.25	1.25	5.033	E WA Non Metro	yes	3.33333333333333	4.75	Environment	9.12638644880421
8	369	61	male	Highly Engaged	3	98133.0	Branch	4.25	4.25	3.75	3.75	3.75	25.951	W WA Metro	yes	2.5	2.75	Human/Civil rights	4.40092148115167
9	371	71	female	Highly Engaged	6		Branch	4.75	4.25	1.5	1.5	1.0	20.367	W WA Metro	yes	5.33333333333333	6.0	Environment	82.1256876111703
10	372	73	female	Highly Engaged	6	98506.0	Branch	3.75	5.0	2.5	3.0	1.75	45.115	Thurston	yes	4.83333333333333	5.75	Environment	32.5951757635879
11	372	73	female	Highly Engaged	6	98506.0	Branch	3.75	5.0	2.5	3.0	1.75	45.115	Thurston	yes	4.83333333333333	5.75	Environment	32.5951757635879
12	373	61	male	Highly Engaged	4	98506.0	Branch	4.25	4.5	3.25	3.0	2.0	37.455	Thurston	yes	5.66666666666667	5.75	Environment	21.0614634453976
13	375	79	female	Engaged	2	98532.0	Branch	4.5	4.25	4.5	3.75	4.25	8.526	W WA Non Metro	no	4.33333333333333	5.0	Hunger/Poverty	16.335998477745
14	399	60	male	Not Engaged	3	98001.0	Loan	3.75	3.25	3.5	3.5	3.0	1.929	W WA Metro	no	4.0	4.25	Homelessness	4.40092148115167
15	412	71	male	Not Engaged	6	98532.0	Branch	2.0	3.25	2.75	3.0	2.0	28.471	W WA Non Metro	yes	4.33333333333333	4.5	Health (i.e. cancer research)	10.1121556321612
16	424	38	female	Highly Engaged	4	98660.0	Branch	4.0	3.0	2.5	1.75	1.75	4.477	W WA Metro	yes	4.83333333333333	5.0	Animal rights	16.7450595773884
17	425	31	male	Highly Engaged	3	98502.0	Branch	3.25	3.5	3.25	3.0	3.25	2.619	Thurston	no	5.33333333333333	5.75	Human/Civil rights	42.8147407067514
18	426	29	female	Engaged	3		Other	3.75	1.5	3.25	3.5	4.75	0.46	W WA Non Metro	no	4.0	4.0	Law enforcement	14.8376205998138
19	429	46	male	Highly Engaged	5		Branch	4.5	3.75	2.5	2.5	2.75	12.392	Thurston	yes	2.5	4.25	Animal rights	49.0385835523352
20	430	29	female	Engaged	6	98938.0	Loan	3.5	4.25	3.0	3.25	1.25	4.537	E WA Non Metro	no	2.33333333333333	4.75	Hunger/Poverty	10.1121556321612
21	432	40	female	Engaged	3		Branch	5.0	3.5	3.0	2.75	2.5	2.83	E WA Metro	no	5.5	6.0	Animal rights	35.0712378288088
22	433	35	female	Engaged	4	98422.0	Other	3.75	4.0	3.75	3.5	4.25	1.504	W WA Metro	no	4.83333333333333	4.75	Animal rights	0.0
23	434	70	male	Highly Engaged	7	99163.0	Branch	3.5	4.25	3.0	2.25	3.25	33.778	E WA Non Metro	no	5.5	6.0	Hunger/Poverty	35.5938065039788
